x,y
-2.671203,0
-2.349657,0
-0.284636,0
-0.661822,0
1.288825,1
2.446690,1
0.999987,1
1.239018,1
-0.203730,0
-0.801852,0
0.576866,1
-2.104475,0
2.070207,1
1.531962,1
2.563298,1
0.253324,1
1.890964,1
-1.217855,0
2.301616,1
0.694426,1
2.528639,1
0.171616,1
1.533680,1
-1.689420,0
-1.666771,0
1.428854,1
0.509115,1
-1.304127,0
2.148813,1
0.290081,1
0.613485,1
-1.831539,0
2.653090,1
2.696773,1
0.238543,1
-1.147960,0
-0.882521,0
1.966754,1
1.267389,1
0.484966,1
2.911358,1
-0.315228,0
2.747497,1
-0.423868,0
-0.910037,0
2.506209,1
-2.671390,0
-0.238439,0
-2.249631,0
1.057494,1
2.768429,1
-0.994862,0
0.634713,1
-1.220228,0
0.458346,1
-2.500768,0
-0.790006,0
-0.576106,0
-0.982866,0
-2.226261,0
-0.648514,0
2.250416,1
-0.268903,0
0.038907,1
-2.370525,0
-0.976972,0
0.643561,1
2.947796,1
0.929766,1
-1.444569,0
-1.612677,0
-0.179243,0
-1.112131,0
0.689036,1
1.491228,1
1.539637,1
1.493223,1
-1.627308,0
1.380174,1
-2.891593,0
0.167144,1
-0.113043,0
2.930886,1
-0.008563,0
-0.138257,0
1.689394,1
-0.962794,0
2.167248,1
1.979504,1
-2.202770,0
2.867069,1
1.425411,1
-0.375370,0
2.695281,1
2.935888,1
1.284538,1
-2.389381,0
0.486820,1
-0.165558,0
-2.730637,0
2.399465,1
0.431697,1
0.897611,1
-1.610215,0
1.310636,1
-2.818690,0
0.240286,1
0.041872,1
2.214385,1
2.214404,1
1.073859,1
2.635675,1
-0.737039,0
-1.793536,0
2.512709,1
2.209723,1
1.429338,1
-0.046368,0
-1.056665,0
-2.062002,0
0.477894,1
1.224225,1
1.153828,1
2.213523,1
2.260128,1
-0.754924,0
-2.958714,0
-0.425771,0
-2.395130,0
0.023120,1
2.169207,1
-0.356863,0
1.660713,1
1.998872,1
1.777313,1
2.440168,1
2.832909,1
2.415519,1
1.574871,1
-2.044064,0
18.000000,1
22.000000,1
26.000000,1
31.000000,1
