x,y
1.624942,3.473814
3.701514,4.201516
-3.914591,-6.882476
0.899372,4.236847
1.618768,2.828433
1.125827,2.721605
-2.569164,-0.118223
1.384763,6.478561
2.979611,5.864389
-0.949168,-0.287617
-3.721030,-6.182693
-3.177604,-1.416102
-0.235785,0.167709
3.961723,7.217859
-0.208572,3.465659
-4.515272,-3.622095
-4.752405,-6.317320
-2.404847,3.732191
4.031330,11.223772
0.872256,4.290721
2.022357,5.529910
0.763702,3.713770
-2.842596,-4.980139
-4.822722,-6.309895
-4.056781,-3.849965
-3.823304,-1.541465
-3.334243,-3.983995
3.455925,4.831966
4.954086,12.252755
-1.145861,1.967434
0.441968,3.629475
-3.027097,-3.719528
-1.153265,-0.338854
-0.394564,0.094169
-0.259448,4.876600
2.039589,10.821721
1.249808,6.606721
3.728868,10.114646
-2.350875,0.613225
4.419111,8.255871
4.421853,9.416905
-3.837270,-3.989558
4.886011,9.369518
-0.478633,1.792650
0.152040,1.808989
-1.032795,5.080144
3.186291,5.818954
2.140343,6.603593
2.405813,8.875631
4.441727,7.336530
-4.518872,-4.048545
-0.592967,0.265655
-2.568669,-0.586484
-4.846314,-0.809214
1.903820,5.967804
-3.951028,-2.032426
0.150526,0.752134
-4.677357,-2.371171
2.817461,7.337686
2.796696,4.349279
