size,bedrooms,price
3841.93,1,657.6325
3098.70,4,583.1406
2473.71,5,533.2066
2491.13,2,421.4876
1552.69,2,293.8440
4059.21,1,633.5109
3213.95,5,604.6777
1348.78,3,283.4421
1314.48,4,292.2781
1679.88,1,328.4805
4068.69,1,650.5816
2945.02,5,574.0143
2160.12,1,453.9328
4083.85,1,668.2080
2316.91,5,428.5855
2410.92,3,404.8395
3895.71,2,639.1574
3411.68,3,553.1487
972.36,5,300.5992
1755.40,4,403.6939
3103.59,3,522.2178
4057.80,1,689.1868
4139.14,4,709.5376
2401.96,2,441.4246
1927.39,3,364.7666
977.83,4,276.0824
1247.39,1,232.5511
3145.47,3,549.7902
3659.75,5,634.7718
4053.97,5,725.5441
2499.15,1,414.5107
1728.96,1,336.9653
3855.87,2,678.7506
3576.70,3,608.9991
2487.70,1,418.5146
2697.30,5,523.8951
3544.73,5,625.7602
1300.90,3,325.1778
979.14,5,292.3106
941.47,2,191.7143
3695.08,4,659.7738
1397.26,5,328.2159
3469.27,5,629.0397
2691.63,1,444.2667
2977.75,4,580.9598
1217.21,5,300.2841
1026.51,4,271.8050
2115.30,4,455.4423
4133.49,2,693.8645
3773.25,3,600.9798
2959.89,1,489.5418
3179.56,2,541.1201
2890.97,4,523.0556
3120.99,3,497.0195
1873.23,4,395.6918
3276.38,2,544.2834
3888.54,4,658.2257
1136.32,3,292.9359
966.48,4,300.2941
1240.08,1,243.3100
3630.96,4,638.1248
2536.24,4,498.2208
2074.39,3,394.9376
3425.50,5,630.9243
3201.87,1,514.3976
2059.22,5,439.8546
3766.92,2,647.3950
3103.41,1,513.0198
2002.07,5,420.9966
2513.00,3,462.4889
3603.53,1,618.7508
2557.09,1,494.5462
3655.52,1,578.3044
4043.52,4,690.9823
2821.09,5,512.2008
3016.97,5,586.7571
3344.00,4,622.8282
3351.49,5,621.1260
2098.25,1,353.5610
2696.16,1,429.5302
3079.03,4,533.5424
1474.56,3,344.2787
2596.70,2,443.9533
3547.32,1,602.2982
1079.23,3,243.3089
3602.80,2,625.2000
2026.35,3,383.7556
2479.79,1,449.9156
2030.87,4,410.8969
2169.60,5,457.2009
3347.23,3,622.0668
1360.99,3,294.2031
3802.21,1,617.2686
1876.81,5,410.1132
1771.19,3,356.7976
3799.83,5,637.3209
1774.19,2,327.3742
1027.15,1,214.1341
1063.33,1,237.5768
2286.94,5,449.2058
2224.24,2,410.5005
3860.56,1,645.5925
2732.58,1,472.9039
3976.51,4,658.2800
2977.19,4,550.6657
2562.99,5,487.7912
2132.76,3,435.4360
3746.76,4,654.3876
2349.01,4,448.7316
2789.20,5,546.1094
1929.81,4,388.0133
3554.83,3,649.2262
3169.06,2,524.2143
2897.55,2,513.0616
3996.72,3,698.1252
4120.09,2,699.0945
1336.40,1,271.1537
1492.15,3,305.5062
3841.47,4,668.0616
1894.57,3,392.9433
