x,y
-1.827560,-0.871465
-2.521738,-0.196524
0.476389,1.027179
3.006997,-0.331663
0.386270,0.708639
2.232143,0.206936
2.578881,-0.222877
0.243506,0.649040
2.426672,0.053506
1.955066,0.818023
0.272178,0.533789
1.457804,1.430428
3.775115,0.552546
-3.885764,-0.441586
-0.892471,-1.173733
-2.855220,0.161804
-0.118994,-0.274838
-2.059134,-0.686275
-3.602536,-0.304264
3.305363,-0.163447
2.189965,0.202354
-3.008694,0.318167
-1.186023,-1.065029
-2.775511,0.291876
-1.492936,-1.141071
0.234011,0.664811
-3.994769,-0.747663
2.488656,0.220533
1.165179,1.332131
-0.231424,-0.194074
0.608085,1.074331
-0.809359,-1.258825
0.225359,0.306311
1.931944,0.621197
-3.244241,0.395434
-1.470854,-1.038004
1.595112,1.094579
0.166145,0.206382
0.832472,1.295185
2.034834,0.513782
0.775871,1.074571
-2.281156,-0.311811
-2.325808,-0.067389
3.106854,-0.331487
-1.670418,-0.853498
2.672828,-0.247704
1.239955,1.269768
-1.577205,-1.071382
2.593579,-0.146176
2.196910,0.452080
-0.923014,-1.356479
-0.793064,-1.191897
3.052264,-0.283861
-1.010711,-1.522690
2.672242,0.024253
-2.547183,0.149395
-0.593067,-0.881862
-0.072041,-0.065344
-2.091402,-0.394333
3.006591,-0.124195
-2.525322,0.100191
-0.878371,-1.328252
-2.595147,0.099745
-3.643044,-0.091511
0.723872,1.046848
3.513035,0.104381
-3.319604,0.092927
0.932432,1.108787
-3.491569,-0.028691
-1.899392,-0.790886
1.330722,1.215605
-1.682444,-1.048727
3.586804,-0.059362
2.572515,0.037725
1.664126,1.185376
-1.984051,-0.568129
2.680793,-0.010208
2.280101,0.075462
0.170718,0.365355
-0.655041,-1.021008
-1.582339,-1.214544
2.491784,0.027191
0.386027,0.575449
0.178029,0.505831
-3.963731,-0.615743
1.526962,1.114444
3.027014,-0.275856
0.370414,0.720566
3.763528,0.347700
-0.593431,-1.077245
0.022461,0.015409
2.584157,-0.109754
-0.836315,-1.010566
2.509633,0.072510
1.061637,1.463007
-3.297099,0.187278
0.805648,0.945438
-0.386567,-0.581928
2.482904,0.066716
-2.189130,-0.494392
2.334118,0.235346
3.437140,0.023988
1.386920,1.008926
-3.639653,-0.327596
-0.622916,-1.107881
1.788414,0.895946
-1.854800,-0.951157
3.443030,-0.031375
-0.592767,-0.908354
2.686536,0.072740
0.486507,0.771206
-2.797537,0.428460
-1.827383,-0.700606
-3.860873,-0.562622
1.019661,1.227090
-3.985668,-0.673939
-2.060507,-0.753709
-1.306270,-1.205693
2.291628,0.234189
0.842408,1.238066
1.637473,1.062034
1.414775,1.107549
1.186912,1.250987
-0.398891,-0.658901
-3.557163,-0.061055
-0.141756,-0.369505
2.202863,0.386315
-0.491254,-0.927541
3.668099,0.379499
-1.241057,-1.364632
-0.809629,-1.239316
-1.565678,-0.877833
0.166113,0.288943
-3.744229,-0.206796
2.322843,0.408487
-2.080880,-0.782505
-1.308491,-1.579277
2.552916,-0.130180
2.145183,0.532652
2.389182,0.334631
-1.527413,-1.145477
-2.039575,-0.620073
3.033437,-0.124491
2.048823,0.478377
0.616407,1.081421
-1.759583,-0.968149
1.739296,0.899143
3.566393,-0.018407
1.227096,1.200030
2.274994,0.367269
3.535429,0.081604
3.845496,0.553566
2.219673,0.568800
-3.225464,0.266401
-1.571970,-1.229975
-1.274400,-1.254757
-3.155860,0.142112
0.549726,1.039073
-3.397246,0.122701
-2.195819,-0.604779
-2.980636,0.348235
-3.041885,0.447434
-3.147197,0.022679
-0.739417,-1.091385
-3.979923,-0.900976
2.128489,0.433904
-2.351811,-0.253944
2.302370,0.045162
-3.661678,-0.052942
1.717412,0.770162
2.934539,-0.301527
-1.471739,-1.233327
-2.638679,-0.197149
-0.121310,-0.146401
-0.816129,-1.013406
-2.493728,0.117565
1.372300,1.130788
3.631484,0.313970
-1.326448,-1.080026
1.929715,0.847067
-1.052437,-1.432022
-2.476935,-0.106071
-0.148873,-0.250355
-1.597226,-1.105725
-2.335477,0.053485
0.255456,0.438491
-1.820320,-0.990107
-1.683775,-0.908921
1.351758,1.158582
3.398758,-0.134671
-3.395746,-0.004144
-2.617744,-0.001964
1.511306,1.126821
3.190674,-0.084010
-0.525312,-0.679184
3.467737,-0.087719
-1.959183,-0.769289
-0.281068,-0.426511
2.651151,-0.124923
-1.637351,-1.112330
0.448060,0.702743
-2.249535,-0.173074
3.732492,0.237719
-1.346190,-1.376985
-2.744990,0.273297
1.672536,1.204814
-2.467529,-0.243031
-3.578859,-0.173103
3.120850,-0.165817
2.139964,0.450710
2.465417,-0.040033
1.213270,1.129796
0.247520,0.738465
-3.161033,0.385750
-3.850613,-0.203351
0.294745,0.593650
3.777073,0.241084
-3.028001,0.430427
-0.413348,-0.519574
-0.256009,-0.500535
-3.302292,0.266545
2.365830,0.106310
-0.889295,-1.082598
2.573719,0.186034
-0.075476,-0.089322
0.833470,1.227729
-3.978754,-0.701224
-3.242457,0.127231
0.616389,1.157765
1.331219,1.321667
-1.713156,-0.958283
-2.744734,0.150121
2.652188,0.062270
-2.356649,-0.261752
1.631681,1.138430
0.648191,1.008995
-3.853173,-0.459312
-3.217221,0.071353
1.408589,1.224344
3.440735,0.074403
